"order","year","id","leaf_pos","x","y"
1,"y2018","C_1","young",2021,7018
2,"y2018","C_1","young",2047,6968
3,"y2018","C_1","young",2019,6918
4,"y2018","C_1","young",1953,6906
5,"y2018","C_1","young",2219,7110
6,"y2018","C_1","young",2175,7096
7,"y2018","C_1","young",2209,7072
8,"y2018","C_1","young",2385,6670
9,"y2018","C_1","young",2365,6702
10,"y2018","C_1","young",2345,6664
11,"y2018","C_1","young",2031,6372
12,"y2018","C_1","young",2035,6414
13,"y2018","C_1","young",1993,6392
14,"y2018","C_1","young",3181,8010
15,"y2018","C_1","young",3831,6840
16,"y2018","C_1","young",3585,6771
17,"y2018","C_1","young",3903,5910
18,"y2018","C_1","young",3612,4638
19,"y2018","C_1","young",2688,4968
20,"y2018","C_1","young",2685,4788
21,"y2018","C_1","young",1821,3828
22,"y2018","C_1","mid",5332,4020
23,"y2018","C_1","mid",5360,3956
24,"y2018","C_1","mid",5304,3908
25,"y2018","C_1","mid",5240,3920
26,"y2018","C_1","mid",5616,4120
27,"y2018","C_1","mid",5576,4108
28,"y2018","C_1","mid",5600,4080
29,"y2018","C_1","mid",5732,3616
30,"y2018","C_1","mid",5716,3648
31,"y2018","C_1","mid",5688,3612
32,"y2018","C_1","mid",5268,3296
33,"y2018","C_1","mid",5272,3344
34,"y2018","C_1","mid",5224,3324
35,"y2018","C_1","mid",6704,5084
36,"y2018","C_1","mid",7544,3976
37,"y2018","C_1","mid",7328,3720
38,"y2018","C_1","mid",7456,3068
39,"y2018","C_1","mid",7276,1532
40,"y2018","C_1","mid",6436,1788
41,"y2018","C_1","mid",6508,1504
42,"y2018","C_1","mid",5208,524
43,"y2018","C_1","old",9972,6104
44,"y2018","C_1","old",9992,6064
45,"y2018","C_1","old",9948,6008
46,"y2018","C_1","old",9880,6020
47,"y2018","C_1","old",10192,6140
48,"y2018","C_1","old",10148,6140
49,"y2018","C_1","old",10172,6112
50,"y2018","C_1","old",10324,5720
51,"y2018","C_1","old",10292,5752
52,"y2018","C_1","old",10280,5712
53,"y2018","C_1","old",9856,5300
54,"y2018","C_1","old",9868,5348
55,"y2018","C_1","old",9820,5336
56,"y2018","C_1","old",11292,7032
57,"y2018","C_1","old",12108,5732
58,"y2018","C_1","old",11768,5576
59,"y2018","C_1","old",12080,5028
60,"y2018","C_1","old",11664,3624
61,"y2018","C_1","old",10836,3960
62,"y2018","C_1","old",10704,3600
63,"y2018","C_1","old",9640,2860
64,"y2018","C_10","young",9983,5954
65,"y2018","C_10","young",9975,5910
66,"y2018","C_10","young",10017,5879
67,"y2018","C_10","young",10082,5881
68,"y2018","C_10","young",9762,6084
69,"y2018","C_10","young",9809,6068
70,"y2018","C_10","young",9775,6047
71,"y2018","C_10","young",9482,5676
72,"y2018","C_10","young",9508,5697
73,"y2018","C_10","young",9520,5657
74,"y2018","C_10","young",10010,5337
75,"y2018","C_10","young",10013,5387
76,"y2018","C_10","young",10063,5378
77,"y2018","C_10","young",9486,6964
78,"y2018","C_10","young",8350,6328
79,"y2018","C_10","young",9242,5940
80,"y2018","C_10","young",8134,5776
81,"y2018","C_10","young",8170,4458
82,"y2018","C_10","young",9634,5330
83,"y2018","C_10","young",8650,4388
84,"y2018","C_10","young",9898,3098
85,"y2018","C_10","mid",6330,3629
86,"y2018","C_10","mid",6338,3558
87,"y2018","C_10","mid",6371,3516
88,"y2018","C_10","mid",6437,3491
89,"y2018","C_10","mid",6200,3783
90,"y2018","C_10","mid",6236,3753
91,"y2018","C_10","mid",6187,3739
92,"y2018","C_10","mid",5850,3439
93,"y2018","C_10","mid",5896,3461
94,"y2018","C_10","mid",5892,3407
95,"y2018","C_10","mid",6350,2909
96,"y2018","C_10","mid",6350,2953
97,"y2018","C_10","mid",6398,2941
98,"y2018","C_10","mid",6512,4987
99,"y2018","C_10","mid",4648,4395
100,"y2018","C_10","mid",5380,3855
