"sample","rootstock","scion","location","year","px2_cm2"
"C_1","Teleki 5C","Chardonnay","Liberty","y2018",79524
"C_1","Teleki 5C","Chardonnay","Liberty","y2018",79524
"C_1","Teleki 5C","Chardonnay","Liberty","y2018",79524
"C_10","Freedom","Cabernet Sauvignon","Liberty","y2018",79524
"C_10","Freedom","Cabernet Sauvignon","Liberty","y2018",79524
"C_10","Freedom","Cabernet Sauvignon","Liberty","y2018",79524
"C_100","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_100","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_100","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_101","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_101","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_101","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_102","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_102","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_102","Freedom","Cabernet Sauvignon","Liberty","y2018",76176
"C_103","Freedom","Chardonnay","Livingston","y2018",79524
"C_103","Freedom","Chardonnay","Livingston","y2018",79524
"C_103","Freedom","Chardonnay","Livingston","y2018",79524
"C_104","Freedom","Chardonnay","Livingston","y2018",79524
"C_104","Freedom","Chardonnay","Livingston","y2018",79524
"C_104","Freedom","Chardonnay","Livingston","y2018",79524
"C_105","Freedom","Chardonnay","Livingston","y2018",79524
"C_105","Freedom","Chardonnay","Livingston","y2018",79524
"C_105","Freedom","Chardonnay","Livingston","y2018",79524
"C_106","Teleki 5C","Chardonnay","Livingston","y2018",78416.24
"C_106","Teleki 5C","Chardonnay","Livingston","y2018",78416.24
"C_106","Teleki 5C","Chardonnay","Livingston","y2018",78416.24
"C_107","Teleki 5C","Chardonnay","Livingston","y2018",79524
"C_107","Teleki 5C","Chardonnay","Livingston","y2018",79524
"C_107","Teleki 5C","Chardonnay","Livingston","y2018",79524
"C_108","Teleki 5C","Chardonnay","Livingston","y2018",79524
"C_108","Teleki 5C","Chardonnay","Livingston","y2018",79524
"C_108","Teleki 5C","Chardonnay","Livingston","y2018",79524
"C_109","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_109","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_109","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_11","Freedom","Cabernet Sauvignon","Liberty","y2018",79524
"C_11","Freedom","Cabernet Sauvignon","Liberty","y2018",79524
"C_11","Freedom","Cabernet Sauvignon","Liberty","y2018",79524
"C_110","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_110","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_110","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_111","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_111","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_111","1103 Paulsen","Cabernet Sauvignon","Livingston","y2018",79524
"C_112","Freedom","Cabernet Sauvignon","Livingston","y2018",79524
"C_112","Freedom","Cabernet Sauvignon","Livingston","y2018",79524
"C_112","Freedom","Cabernet Sauvignon","Livingston","y2018",79524
