order,year,id,x,y
1,y2018,C_1,2021,7018
2,y2018,C_1,2047,6968
3,y2018,C_1,2019,6918
4,y2018,C_1,1953,6906
5,y2018,C_1,2219,7110
6,y2018,C_1,2175,7096
7,y2018,C_1,2209,7072
8,y2018,C_1,2385,6670
9,y2018,C_1,2365,6702
10,y2018,C_1,2345,6664
11,y2018,C_1,2031,6372
12,y2018,C_1,2035,6414
13,y2018,C_1,1993,6392
14,y2018,C_1,3181,8010
15,y2018,C_1,3831,6840
16,y2018,C_1,3585,6771
17,y2018,C_1,3903,5910
18,y2018,C_1,3612,4638
19,y2018,C_1,2688,4968
20,y2018,C_1,2685,4788
21,y2018,C_1,1821,3828
22,y2018,C_1,5332,4020
23,y2018,C_1,5360,3956
24,y2018,C_1,5304,3908
25,y2018,C_1,5240,3920
26,y2018,C_1,5616,4120
27,y2018,C_1,5576,4108
28,y2018,C_1,5600,4080
29,y2018,C_1,5732,3616
30,y2018,C_1,5716,3648
31,y2018,C_1,5688,3612
32,y2018,C_1,5268,3296
33,y2018,C_1,5272,3344
34,y2018,C_1,5224,3324
35,y2018,C_1,6704,5084
36,y2018,C_1,7544,3976
37,y2018,C_1,7328,3720
38,y2018,C_1,7456,3068
39,y2018,C_1,7276,1532
40,y2018,C_1,6436,1788
41,y2018,C_1,6508,1504
42,y2018,C_1,5208,524
43,y2018,C_1,9972,6104
44,y2018,C_1,9992,6064
45,y2018,C_1,9948,6008
46,y2018,C_1,9880,6020
47,y2018,C_1,10192,6140
48,y2018,C_1,10148,6140
49,y2018,C_1,10172,6112
50,y2018,C_1,10324,5720
51,y2018,C_1,10292,5752
52,y2018,C_1,10280,5712
53,y2018,C_1,9856,5300
54,y2018,C_1,9868,5348
55,y2018,C_1,9820,5336
56,y2018,C_1,11292,7032
57,y2018,C_1,12108,5732
58,y2018,C_1,11768,5576
59,y2018,C_1,12080,5028
60,y2018,C_1,11664,3624
61,y2018,C_1,10836,3960
62,y2018,C_1,10704,3600
63,y2018,C_1,9640,2860
64,y2018,C_11,2532,6512
65,y2018,C_11,2556,6468
66,y2018,C_11,2524,6416
67,y2018,C_11,2460,6432
68,y2018,C_11,2744,6656
69,y2018,C_11,2712,6644
70,y2018,C_11,2728,6612
71,y2018,C_11,3084,6224
72,y2018,C_11,3056,6248
73,y2018,C_11,3048,6212
74,y2018,C_11,2544,5700
75,y2018,C_11,2552,5744
76,y2018,C_11,2504,5724
77,y2018,C_11,2768,7986
78,y2018,C_11,4356,7498
79,y2018,C_11,3612,6678
80,y2018,C_11,4904,6266
81,y2018,C_11,4708,4502
82,y2018,C_11,3120,5670
83,y2018,C_11,3800,4130
84,y2018,C_11,2400,3262
85,y2018,C_11,6008,3506
86,y2018,C_11,6048,3498
87,y2018,C_11,6036,3450
88,y2018,C_11,5988,3422
89,y2018,C_11,6100,3794
90,y2018,C_11,6084,3766
91,y2018,C_11,6120,3762
92,y2018,C_11,6516,3570
93,y2018,C_11,6472,3566
94,y2018,C_11,6492,3534
95,y2018,C_11,6412,2978
96,y2018,C_11,6384,3018
97,y2018,C_11,6360,2966
98,y2018,C_11,5552,4630
99,y2018,C_11,6836,5022
100,y2018,C_11,6528,3994
101,y2018,C_11,7512,4594
102,y2018,C_11,8408,3370
103,y2018,C_11,6832,3202
104,y2018,C_11,8236,2334
105,y2018,C_11,8168,1358
106,y2018,C_11,9888,5954
107,y2018,C_11,9960,5910
108,y2018,C_11,9872,5882
109,y2018,C_11,9816,5886
110,y2018,C_11,10144,6138
111,y2018,C_11,10112,6102
112,y2018,C_11,10156,6090
113,y2018,C_11,10464,5802
114,y2018,C_11,10412,5822
115,y2018,C_11,10412,5778
116,y2018,C_11,9892,5342
117,y2018,C_11,9900,5398
118,y2018,C_11,9852,5366
119,y2018,C_11,9808,7194
120,y2018,C_11,11332,6950
121,y2018,C_11,10772,6186
122,y2018,C_11,11960,6134
123,y2018,C_11,12184,4662
124,y2018,C_11,10368,5410
125,y2018,C_11,11292,4022
126,y2018,C_11,9904,2858
127,y2018,C_12,2346,5920
128,y2018,C_12,2358,5848
129,y2018,C_12,2310,5832
130,y2018,C_12,2242,5836
131,y2018,C_12,2610,6068
132,y2018,C_12,2574,6048
133,y2018,C_12,2602,6036
134,y2018,C_12,2746,5580
135,y2018,C_12,2726,5616
136,y2018,C_12,2710,5576
137,y2018,C_12,2266,5068
138,y2018,C_12,2274,5116
139,y2018,C_12,2234,5096
140,y2018,C_12,2998,7272
141,y2018,C_12,4134,6256
142,y2018,C_12,3182,5920
143,y2018,C_12,4242,5472
144,y2018,C_12,4074,4224
145,y2018,C_12,2806,4944
146,y2018,C_12,3042,3722
147,y2018,C_12,1970,3598
148,y2018,C_12,5954,3566
