sample,rootstock,scion,location,year,E,A,gsw
C4,1103P,chard,san joaquin,y2018,0.010175834,20.05089716,0.443439086
C4,1103P,chard,san joaquin,y2018,0.006450519,16.24919146,0.249829845
C5,1103P,chard,san joaquin,y2018,0.010750294,23.77964367,0.4827719
C5,1103P,chard,san joaquin,y2018,0.011153398,24.3952722,0.485703101
C6,1103P,chard,san joaquin,y2018,0.008249739,19.29778619,0.338571406
C6,1103P,chard,san joaquin,y2018,0.00175589,8.076276249,0.059348469
C16,1103P,cab,san joaquin,y2018,0.00381046,12.90245595,0.125770909
C16,1103P,cab,san joaquin,y2018,0.001362379,5.329147149,0.040034045
C17,1103P,cab,san joaquin,y2018,0.002059829,7.251836993,0.06208923
C17,1103P,cab,san joaquin,y2018,0.001284804,4.623965161,0.038154953
C18,1103P,cab,san joaquin,y2018,0.002621775,9.925016161,0.080047589
C18,1103P,cab,san joaquin,y2018,0.002924307,10.65579581,0.08833222
C19,1103P,cab,merced,y2018,0.003870612,16.25898461,0.154643331
C19,1103P,cab,merced,y2018,0.002557011,12.32762208,0.097767222
C20,1103P,cab,merced,y2018,0.003494055,14.9816855,0.138069888
C20,1103P,cab,merced,y2018,0.002368352,10.31337509,0.09640745
C21,1103P,cab,merced,y2018,0.002449971,10.29226029,0.0964224
C21,1103P,cab,merced,y2018,0.002576927,12.27744359,0.100867336
C34,1103P,chard,madera,y2018,0.006926932,20.10126736,0.297643078
C34,1103P,chard,madera,y2018,0.010028419,22.31857044,0.465043641
C35,1103P,chard,madera,y2018,0.009740166,22.31508053,0.448585379
C35,1103P,chard,madera,y2018,0.008147491,19.4622143,0.355301005
C36,1103P,chard,madera,y2018,0.011055039,23.93891147,0.505373372
C36,1103P,chard,madera,y2018,0.008744432,18.58370213,0.388708115
C46,1103P,cab,san joaquin,y2018,0.004202767,14.55718779,0.171034207
C46,1103P,cab,san joaquin,y2018,0.002568904,12.53284763,0.096341875
C47,1103P,cab,san joaquin,y2018,0.004618512,17.28155651,0.187050963
C47,1103P,cab,san joaquin,y2018,0.006642623,20.11582371,0.288224073
C48,1103P,cab,san joaquin,y2018,0.002517992,10.68093457,0.098125893
C48,1103P,cab,san joaquin,y2018,0.002825544,10.89636709,0.110391089
C52,1103P,chard,san joaquin,y2018,0.005076214,16.62255891,0.209449236
C52,1103P,chard,san joaquin,y2018,0.006155843,17.89902157,0.259012631
C53,1103P,chard,san joaquin,y2018,0.007031269,21.70851549,0.307113888
C53,1103P,chard,san joaquin,y2018,0.006588571,18.41665322,0.281479129
C54,1103P,chard,san joaquin,y2018,0.005547569,18.98565732,0.235195339
C54,1103P,chard,san joaquin,y2018,0.004124383,14.52998759,0.167070612
C70,1103P,cab,merced,y2018,-1.75E-05,-0.005989391,-0.000662675
C70,1103P,cab,merced,y2018,-4.31E-06,0.024722137,-0.000164527
C71,1103P,cab,merced,y2018,-2.97E-06,0.007190237,-0.000113434
C71,1103P,cab,merced,y2018,-2.97E-06,0.006190451,-0.000110446
C72,1103P,cab,merced,y2018,-1.96E-05,-0.056167068,-0.000759457
C72,1103P,cab,merced,y2018,-1.10E-05,0.037396823,-0.000397207
C73,1103P,chard,madera,y2018,0.007630376,16.02511652,0.323885795
C73,1103P,chard,madera,y2018,0.006950731,11.80643325,0.291867273
C74,1103P,chard,madera,y2018,0.007639912,19.48431977,0.324823694
C74,1103P,chard,madera,y2018,0.007828589,19.04577811,0.343911917
C75,1103P,chard,madera,y2018,0.008715322,18.58627354,0.377644385
C75,1103P,chard,madera,y2018,0.009790591,21.12075363,0.441167004
C88,1103P,chard,san joaquin,y2018,0.009463515,22.36271936,0.416006376
C88,1103P,chard,san joaquin,y2018,0.00890104,19.74555217,0.39027352
C89,1103P,chard,san joaquin,y2018,0.008043666,20.00076428,0.346956227
C89,1103P,chard,san joaquin,y2018,0.007758183,21.21210411,0.345766617
C90,1103P,chard,san joaquin,y2018,0.010110193,17.07627686,0.45708805
C90,1103P,chard,san joaquin,y2018,0.006245131,15.02094775,0.242746196
C97,1103P,cab,san joaquin,y2018,0.002519567,11.78268296,0.091764486
C97,1103P,cab,san joaquin,y2018,0.002147866,10.25310996,0.080012541
C98,1103P,cab,san joaquin,y2018,0.004905786,17.57228174,0.195785415
C98,1103P,cab,san joaquin,y2018,0.00229902,9.897945705,0.086777655
C99,1103P,cab,san joaquin,y2018,0.003854844,15.18460166,0.155209112
C99,1103P,cab,san joaquin,y2018,0.002909276,12.89174373,0.110817105
C109,1103P,cab,merced,y2018,0.00117859,5.222045738,0.03873871
C109,1103P,cab,merced,y2018,0.000910699,2.949850748,0.028144958
C110,1103P,cab,merced,y2018,0.002718705,9.55358218,0.092202671
C110,1103P,cab,merced,y2018,0.001711671,6.406645305,0.051828612
C111,1103P,cab,merced,y2018,0.001798759,6.734455629,0.05759619
C111,1103P,cab,merced,y2018,0.001301701,4.722951449,0.04333865
C124,1103P,chard,madera,y2018,0.011391132,22.6841402,0.517282683
C124,1103P,chard,madera,y2018,0.012201328,20.09506346,0.573243704
C125,1103P,chard,madera,y2018,0.009722086,19.00509347,0.434188455
C125,1103P,chard,madera,y2018,0.009800392,21.76190694,0.42905912
C126,1103P,chard,madera,y2018,0.010292117,20.11433973,0.47541821
C126,1103P,chard,madera,y2018,0.011736633,21.26755775,0.566069482
C130,1103P,cab,san joaquin,y2018,0.00377725,16.14274797,0.141737157
C130,1103P,cab,san joaquin,y2018,0.004248761,16.88285828,0.170492753
C131,1103P,cab,san joaquin,y2018,0.004292098,16.20257245,0.172927644
C131,1103P,cab,san joaquin,y2018,0.004234325,15.1188808,0.166749392
C132,1103P,cab,san joaquin,y2018,0.003740579,14.60034858,0.147649581
C132,1103P,cab,san joaquin,y2018,0.002912312,12.19624237,0.109132151
C136,1103P,chard,san joaquin,y2018,0.003741101,15.27885415,0.143806016
C136,1103P,chard,san joaquin,y2018,0.002731612,11.1226316,0.101843573
C137,1103P,chard,san joaquin,y2018,0.002424285,8.351796407,0.081951562
C137,1103P,chard,san joaquin,y2018,0.003446393,13.32085671,0.126227632
C138,1103P,chard,san joaquin,y2018,0.002804313,12.39775949,0.104562367
C138,1103P,chard,san joaquin,y2018,0.002008172,9.953993732,0.0711375
C148,1103P,cab,merced,y2018,0.002314385,9.432221512,0.072489866
C148,1103P,cab,merced,y2018,0.003939983,15.56858828,0.136548083
C149,1103P,cab,merced,y2018,0.006216981,19.17726585,0.227479418
C149,1103P,cab,merced,y2018,0.004965185,17.88006758,0.181953105
C150,1103P,cab,merced,y2018,0.003120215,14.48275529,0.107262198
C150,1103P,cab,merced,y2018,0.002749948,11.65415937,0.093486339
C163,1103P,chard,madera,y2018,0.009467698,22.94469684,0.406270476
C163,1103P,chard,madera,y2018,0.006761263,17.19881496,0.266287044
C164,1103P,chard,madera,y2018,0.00588843,13.73155924,0.223907661
C164,1103P,chard,madera,y2018,0.008302615,18.32377451,0.353683842
C165,1103P,chard,madera,y2018,0.009296445,19.13926305,0.410189257
C165,1103P,chard,madera,y2018,0.008037852,18.58114568,0.343533463
C172,1103P,chard,san joaquin,y2018,0.009393031,18.28557829,0.428737982
C172,1103P,chard,san joaquin,y2018,0.003396012,9.842068952,0.134452181
C173,1103P,chard,san joaquin,y2018,0.007978223,21.72769185,0.350674629
C173,1103P,chard,san joaquin,y2018,0.005436538,16.96740971,0.219093888
C174,1103P,chard,san joaquin,y2018,0.008109424,19.63624236,0.352352262
C174,1103P,chard,san joaquin,y2018,0.005262541,15.40396321,0.209162886
C184,1103P,cab,san joaquin,y2018,0.004051625,15.76647459,0.138772625
C184,1103P,cab,san joaquin,y2018,0.001753158,8.088965943,0.05841951
C185,1103P,cab,san joaquin,y2018,0.003415604,13.45387508,0.115555744
C185,1103P,cab,san joaquin,y2018,0.004716625,15.36367214,0.180772605
C186,1103P,cab,san joaquin,y2018,0.002125431,9.987062373,0.069274849
C186,1103P,cab,san joaquin,y2018,0.003985696,14.10629413,0.141060305
C187,1103P,cab,merced,y2018,0.002391993,11.36129855,0.086956261
C187,1103P,cab,merced,y2018,0.002244891,10.49575293,0.083195911
C188,1103P,cab,merced,y2018,0.00460157,16.23432081,0.176292291
C188,1103P,cab,merced,y2018,0.00609572,20.27213836,0.242491019
C189,1103P,cab,merced,y2018,0.002249561,9.201328731,0.076396789
C189,1103P,cab,merced,y2018,0.001549144,7.749573296,0.056583516
C202,1103P,chard,madera,y2018,0.013351638,28.15474851,0.615733645
C202,1103P,chard,madera,y2018,0.014533886,28.46556388,0.708067382
C203,1103P,chard,madera,y2018,0.01376441,26.34995156,0.647118039
C203,1103P,chard,madera,y2018,0.012655002,25.65134727,0.576414396
C204,1103P,chard,madera,y2018,0.008263303,18.09745054,0.34935224
C204,1103P,chard,madera,y2018,0.007361168,16.83283555,0.3085805
C214,1103P,cab,san joaquin,y2018,0.003827958,14.58600271,0.156539421
C214,1103P,cab,san joaquin,y2018,0.002887281,10.96779803,0.11284951
C215,1103P,cab,san joaquin,y2018,0.004079091,15.41601912,0.1584461
C215,1103P,cab,san joaquin,y2018,0.004130479,15.32201907,0.168914744
C216,1103P,cab,san joaquin,y2018,0.002957938,11.23366326,0.113359037
C216,1103P,cab,san joaquin,y2018,0.00356795,13.65968977,0.1385307
C220,1103P,chard,san joaquin,y2018,0.004106176,12.8841796,0.165698843
C220,1103P,chard,san joaquin,y2018,0.002678301,11.12540227,0.105588902
C221,1103P,chard,san joaquin,y2018,0.003373156,13.10713196,0.135060761
C221,1103P,chard,san joaquin,y2018,0.004261212,16.72470372,0.172052749
C222,1103P,chard,san joaquin,y2018,0.00424469,17.11361438,0.169206668
C222,1103P,chard,san joaquin,y2018,0.002955193,13.18899604,0.113159801
C238,1103P,cab,merced,y2018,0.003585722,12.89727102,0.116780556
C238,1103P,cab,merced,y2018,0.003462044,11.19734872,0.105504166
C239,1103P,cab,merced,y2018,0.002464941,8.039695556,0.070337966
C239,1103P,cab,merced,y2018,0.00159238,5.664361363,0.044202868
C240,1103P,cab,merced,y2018,0.003070542,10.31069172,0.089365502
C240,1103P,cab,merced,y2018,0.001174735,4.563494005,0.033170559
C241,1103P,chard,madera,y2018,0.008597399,18.01272376,0.373356014
C241,1103P,chard,madera,y2018,0.00962554,21.30242954,0.446995349
C242,1103P,chard,madera,y2018,0.00892871,21.02386311,0.400466148
C242,1103P,chard,madera,y2018,0.008443355,19.77291885,0.370436055
C243,1103P,chard,madera,y2018,0.009281453,21.41541684,0.401836394
C243,1103P,chard,madera,y2018,0.009528257,20.47872212,0.430747003
C256,1103P,chard,san joaquin,y2018,0.004023941,16.01082262,0.158055239
C256,1103P,chard,san joaquin,y2018,0.002400355,11.83767529,0.091528408
C257,1103P,chard,san joaquin,y2018,0.001941639,10.18000882,0.075760811
C257,1103P,chard,san joaquin,y2018,0.002069828,11.16050968,0.080903456
C258,1103P,chard,san joaquin,y2018,0.002712569,11.75763323,0.108404207
C258,1103P,chard,san joaquin,y2018,0.00271608,11.55626842,0.108882259
C265,1103P,cab,san joaquin,y2018,0.001590353,8.323437798,0.060014456
C265,1103P,cab,san joaquin,y2018,0.000714399,4.552967392,0.026532418
C266,1103P,cab,san joaquin,y2018,0.000589201,5.205601924,0.022944006
C266,1103P,cab,san joaquin,y2018,0.000960605,6.057986901,0.033947677
C267,1103P,cab,san joaquin,y2018,0.001838766,8.888030716,0.071107993
C267,1103P,cab,san joaquin,y2018,0.001126938,6.227424985,0.041796974
C277,1103P,cab,merced,y2018,0.003025158,10.64532286,0.093304499
C277,1103P,cab,merced,y2018,0.001650309,8.109605416,0.05350107
C278,1103P,cab,merced,y2018,0.001779649,9.211813644,0.061292177
C278,1103P,cab,merced,y2018,0.001390433,7.552472768,0.051227544
C279,1103P,cab,merced,y2018,0.001754238,7.659768034,0.061019484
C279,1103P,cab,merced,y2018,0.001525009,7.209677257,0.056275984
C292,1103P,chard,madera,y2018,0.006442372,16.72493048,0.266225477
C292,1103P,chard,madera,y2018,0.005155574,15.87639413,0.201764286
C293,1103P,chard,madera,y2018,0.00574638,17.363748,0.236789788
C293,1103P,chard,madera,y2018,0.006168323,15.44716236,0.259323125
C294,1103P,chard,madera,y2018,0.006000279,17.21396049,0.241968511
C294,1103P,chard,madera,y2018,0.004975128,15.52963745,0.195016102
C298,1103P,cab,san joaquin,y2018,0.00222255,9.166672058,0.076060634
C298,1103P,cab,san joaquin,y2018,0.001636888,7.826148768,0.055899309
C299,1103P,cab,san joaquin,y2018,0.001536608,6.690693756,0.052656961
C299,1103P,cab,san joaquin,y2018,0.000953098,3.877480447,0.031000887
C300,1103P,cab,san joaquin,y2018,0.002412339,11.04438444,0.086273901
C300,1103P,cab,san joaquin,y2018,0.00225148,9.770086408,0.081607566
C307,1103P,chard,san joaquin,y2018,0.003601471,9.878494812,0.13026031
C307,1103P,chard,san joaquin,y2018,0.001016215,1.221234609,0.033270876
C308,1103P,chard,san joaquin,y2018,0.001591164,6.084003548,0.052910077
C308,1103P,chard,san joaquin,y2018,0.001846274,6.834579799,0.059310876
C309,1103P,chard,san joaquin,y2018,0.001198217,3.539576425,0.035831734
C309,1103P,chard,san joaquin,y2018,0.000912207,3.491102261,0.025213048
C316,1103P,cab,merced,y2018,0.002400865,12.23100523,0.092759664
C316,1103P,cab,merced,y2018,0.002106481,8.229585713,0.079712388
C317,1103P,cab,merced,y2018,0.001968228,9.280544532,0.07180745
C317,1103P,cab,merced,y2018,0.002605711,11.99613066,0.098005039
C318,1103P,cab,merced,y2018,0.003690374,14.91813274,0.144034983
C318,1103P,cab,merced,y2018,0.003875556,14.2915597,0.152044552
C331,1103P,chard,madera,y2018,0.003761864,13.48403825,0.158555399
C331,1103P,chard,madera,y2018,0.003051283,11.46728759,0.124290915
C332,1103P,chard,madera,y2018,0.001440094,6.200771092,0.055960768
C332,1103P,chard,madera,y2018,0.00487486,12.80694337,0.203196129
C333,1103P,chard,madera,y2018,0.004491319,14.34602334,0.188754504
C333,1103P,chard,madera,y2018,0.005787994,16.31879166,0.258275969
C340,1103P,cab,san joaquin,y2019,0.009480373,26.31039677,0.418847048
C340,1103P,cab,san joaquin,y2019,0.008893356,26.56328599,0.380518159
C341,1103P,cab,san joaquin,y2019,0.010633756,26.62312691,0.477597778
C341,1103P,cab,san joaquin,y2019,0.009357248,24.09868613,0.405550484
C342,1103P,cab,san joaquin,y2019,0.00981193,25.52351308,0.421232268
C342,1103P,cab,san joaquin,y2019,0.009388004,24.74767889,0.4048478
C346,1103P,chard,san joaquin,y2019,0.012042048,26.23882689,0.579300486
C346,1103P,chard,san joaquin,y2019,0.006666306,20.50711201,0.273774999
C347,1103P,chard,san joaquin,y2019,0.013967094,28.16202543,0.707193188
C347,1103P,chard,san joaquin,y2019,0.005981832,16.64432671,0.242704929
C348,1103P,chard,san joaquin,y2019,0.002173746,11.27162328,0.083541102
C348,1103P,chard,san joaquin,y2019,0.00658806,17.40879333,0.286069567
C367,1103P,chard,madera,y2019,0.009522034,23.13595765,0.418656132
C367,1103P,chard,madera,y2019,0.009195937,23.1710148,0.429364859
C368,1103P,chard,madera,y2019,0.004815457,15.35616897,0.194715359
C368,1103P,chard,madera,y2019,0.009037011,22.10756218,0.410998691
C369,1103P,chard,madera,y2019,0.011100645,25.09824319,0.492162942
C369,1103P,chard,madera,y2019,0.010843593,24.23201898,0.512097316
C364,1103P,cab,merced,y2019,0.003175555,17.90581957,0.119141671
C364,1103P,cab,merced,y2019,0.007235441,27.62348596,0.292812091
C365,1103P,cab,merced,y2019,0.006425943,27.35573952,0.258180106
C365,1103P,cab,merced,y2019,0.004475921,23.4344937,0.174368382
C366,1103P,cab,merced,y2019,0.003843615,21.57855476,0.146483765
C366,1103P,cab,merced,y2019,0.00717736,26.70364772,0.28989472
C382,1103P,chard,san joaquin,y2019,0.009915618,25.64329776,0.458758186
C382,1103P,chard,san joaquin,y2019,0.011230405,25.27565056,0.538518125
C383,1103P,chard,san joaquin,y2019,0.013458621,27.40420016,0.619714041
C383,1103P,chard,san joaquin,y2019,0.008203985,21.98337722,0.364858542
C384,1103P,chard,san joaquin,y2019,0.010805781,27.67724607,0.494523797
C384,1103P,chard,san joaquin,y2019,0.012046545,26.25510394,0.606479276
C391,1103P,cab,san joaquin,y2019,0.009342633,24.60271959,0.398556129
C391,1103P,cab,san joaquin,y2019,0.00842526,21.98811894,0.36099527
C392,1103P,cab,san joaquin,y2019,0.008665878,21.47878991,0.393790821
C392,1103P,cab,san joaquin,y2019,0.005227925,17.61645968,0.211257246
C393,1103P,cab,san joaquin,y2019,0.007444405,23.04564934,0.308534837
C393,1103P,cab,san joaquin,y2019,0.003560554,15.91404225,0.136227475
C418,1103P,chard,madera,y2019,0.00755453,18.34040793,0.329881072
C418,1103P,chard,madera,y2019,0.00716415,20.00477107,0.313167354
C419,1103P,chard,madera,y2019,0.008666646,21.88791041,0.384766496
C419,1103P,chard,madera,y2019,0.005223086,15.10498548,0.21451614
C420,1103P,chard,madera,y2019,0.010370712,21.78560223,0.481624091
